"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","47156","CamQTool Testi","Default Suite","Fri Feb 13 16:36:12 TRT 2026","passed","Fri Feb 13 16:36:59 TRT 2026","tests.CamQToolTest","tasti-qa","tests.CamQToolTest","successfulCamQTool"
"","36387","CamTrainTool Testi","Default Suite","Fri Feb 13 16:38:23 TRT 2026","passed","Fri Feb 13 16:38:59 TRT 2026","tests.CamTrainToolTests","tasti-qa","tests.CamTrainToolTests","successfulCamTrainTool"
"","3231","Başarılı giriş testi.","Default Suite","Fri Feb 13 16:36:02 TRT 2026","passed","Fri Feb 13 16:36:05 TRT 2026","tests.LoginTests","tasti-qa","tests.LoginTests","SuccessfulLogin"
"","42000","CamGenTool Testi","Default Suite","Fri Feb 13 16:37:34 TRT 2026","passed","Fri Feb 13 16:38:16 TRT 2026","tests.CamGenToolTest","tasti-qa","tests.CamGenToolTest","SuccessfullCamGenTool"
"","15814","CamFiTool Testi","Default Suite","Fri Feb 13 16:37:10 TRT 2026","passed","Fri Feb 13 16:37:26 TRT 2026","tests.CamFiToolTests","tasti-qa","tests.CamFiToolTests","SuccessfullCamFiTool"
